Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Michael Jordan,32,CHI,565,565,1,113,0,0,82,37.7,30.4,6.6,4.3,2.2,0.5,.495,.427,.834,20.4,.317,jordami01
1st,F,Scottie Pippen,30,CHI,517,565,0.915,91,,,77,36.7,19.4,6.4,5.9,1.7,0.7,.463,.374,.679,12.3,.209,pippesc01
1st,G,Anfernee Hardaway,24,ORL,516,565,0.913,90,,,82,36.8,21.7,4.3,7.1,2.0,0.5,.513,.314,.767,14.4,.229,hardaan01
1st,F,Karl Malone,32,UTA,509,565,0.901,89,,,82,38.0,25.7,9.8,4.2,1.7,0.7,.519,.400,.723,15.1,.233,malonka01
1st,C,David Robinson,30,SAS,442,565,0.782,65,,,82,36.8,25.0,12.2,3.0,1.4,3.3,.516,.333,.761,18.3,.290,robinda01
2nd,C,Hakeem Olajuwon,33,HOU,378,565,0.669,40,,,72,38.8,26.9,10.9,3.6,1.6,2.9,.514,.214,.724,9.7,.166,olajuha01
2nd,F,Shawn Kemp,26,SEA,306,565,0.542,18,,,79,33.3,19.6,11.4,2.2,1.2,1.6,.561,.417,.742,11.2,.205,kempsh01
2nd,G,Gary Payton,27,SEA,294,565,0.52,14,,,81,39.0,19.3,4.2,7.5,2.9,0.2,.484,.328,.748,11.5,.174,paytoga01
2nd,F,Grant Hill,23,DET,266,565,0.471,14,,,80,40.8,20.2,9.8,6.9,1.3,0.6,.462,.192,.751,11.7,.172,hillgr01
2nd,G,John Stockton,33,UTA,258,565,0.457,7,,,82,35.5,14.7,2.8,11.2,1.7,0.2,.538,.422,.830,13.0,.214,stockjo01
3rd,F,Charles Barkley,32,PHO,236,565,0.418,10,,,71,37.1,23.2,11.6,3.7,1.6,0.8,.500,.280,.777,10.5,.191,barklch01
3rd,C,Shaquille O'Neal,23,ORL,185,565,0.327,8,,,54,36.0,26.6,11.0,2.9,0.6,2.1,.573,.500,.487,6.9,.171,onealsh01
