# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,Karl Malone,25,UTA,425,425,1,85,0,0,80,39.1,29.1,10.7,2.7,1.8,0.9,.519,.313,.766,15.2,.233,malonka01
1st,G,Magic Johnson,29,LAL,423,425,0.995,84,,,77,37.5,22.5,7.9,12.8,1.8,0.3,.509,.314,.911,16.1,.267,johnsma02
1st,G,Michael Jordan,25,CHI,423,425,0.995,84,,,81,40.2,32.5,8.0,8.0,2.9,0.8,.538,.276,.850,19.8,.292,jordami01
1st,F,Charles Barkley,25,PHI,412,425,0.969,80,,,79,39.1,25.8,12.5,4.1,1.6,0.8,.579,.216,.753,16.1,.250,barklch01
1st,C,Hakeem Olajuwon,26,HOU,379,425,0.892,66,,,82,36.9,24.8,13.5,1.8,2.6,3.4,.508,.000,.696,12.4,.197,olajuha01
2nd,C,Patrick Ewing,26,NYK,267,425,0.628,17,,,80,36.2,22.7,9.3,2.4,1.5,3.5,.567,.000,.746,10.9,.181,ewingpa01
2nd,G,John Stockton,26,UTA,224,425,0.527,1,,,82,38.7,17.1,3.0,13.6,3.2,0.2,.538,.242,.863,15.6,.236,stockjo01
2nd,F,Tom Chambers,29,PHO,174,425,0.409,1,,,81,37.1,25.7,8.4,2.9,1.1,0.7,.471,.326,.851,9.2,.146,chambto01
2nd,G,Chris Mullin,25,GSW,137,425,0.322,0,,,82,37.7,26.5,5.9,5.1,2.1,0.5,.509,.230,.892,10.6,.165,mullich01
2nd,G,Kevin Johnson,22,PHO,131,425,0.308,0,,,81,39.2,20.4,4.2,12.2,1.7,0.3,.505,.091,.882,12.2,.184,johnske02
3rd,F,Dominique Wilkins,29,ATL,116,425,0.273,2,,,80,37.5,26.2,6.9,2.6,1.5,0.7,.464,.276,.844,10.4,.166,wilkido01
3rd,G,Dale Ellis,28,SEA,83,425,0.195,1,,,82,38.9,27.5,4.2,2.0,1.3,0.3,.501,.478,.816,10.8,.163,ellisda01
3rd,G,Mark Price,24,CLE,75,425,0.176,0,,,75,36.4,18.9,3.0,8.4,1.5,0.1,.526,.441,.901,11.3,.199,pricema01
3rd,F,Terry Cummings,27,MIL,70,425,0.165,1,,,80,35.3,22.9,8.1,2.5,1.3,0.9,.467,.467,.787,7.7,.131,cummite01
3rd,C,Robert Parish,35,BOS,70,425,0.165,1,,,80,35.5,18.6,12.5,2.2,1.0,1.5,.570,,.719,10.5,.177,parisro01
ORV,G,Clyde Drexler,26,POR,65,425,0.153,0,,,78,39.3,27.2,7.9,5.8,2.7,0.7,.496,.260,.799,12.6,.197,drexlcl01
ORV,F,Alex English,35,DEN,58,425,0.136,0,,,82,36.5,26.5,4.0,4.7,0.8,0.1,.491,.250,.858,6.8,.110,englial01
ORV,G,Isiah Thomas,27,DET,57,425,0.134,0,,,80,36.6,18.2,3.4,8.3,1.7,0.3,.464,.273,.818,7.0,.115,thomais01
ORV,F,Larry Nance,29,CLE,45,425,0.106,0,,,73,34.6,17.2,8.0,2.2,0.8,2.8,.539,.000,.799,10.3,.197,nancela01
ORV,F,James Worthy,27,LAL,40,425,0.094,1,,,81,36.5,20.5,6.0,3.6,1.3,0.7,.548,.087,.782,9.7,.158,worthja01
