Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,C,Shaquille O'Neal,27,LAL,605,605,1,121,0,0,79,40.0,29.7,13.6,3.8,0.5,3.0,.574,.000,.524,18.6,.283,onealsh01
1st,G,Gary Payton,31,SEA,541,605,0.894,95,,,82,41.8,24.2,6.5,8.9,1.9,0.2,.448,.340,.735,13.9,.195,paytoga01
1st,F,Kevin Garnett,23,MIN,495,605,0.818,77,,,81,40.0,22.9,11.8,5.0,1.5,1.6,.497,.370,.765,11.6,.172,garneke01
1st,F,Tim Duncan,23,SAS,460,605,0.76,48,,,74,38.9,23.2,12.4,3.2,0.9,2.2,.490,.091,.761,13.0,.218,duncati01
1st,G,Jason Kidd,26,PHO,445,605,0.736,48,,,67,39.0,14.3,7.2,10.1,2.0,0.4,.409,.337,.829,8.5,.156,kiddja01
2nd,G,Allen Iverson,24,PHI,420,605,0.694,52,,,70,40.8,28.4,3.8,4.7,2.1,0.1,.421,.341,.713,6.9,.116,iversal01
2nd,G,Kobe Bryant,21,LAL,411,605,0.679,45,,,66,38.2,22.5,6.3,4.9,1.6,0.9,.468,.319,.821,10.6,.202,bryanko01
2nd,F,Karl Malone,36,UTA,409,605,0.676,51,,,82,35.9,25.5,9.5,3.7,1.0,0.9,.509,.250,.797,15.3,.249,malonka01
2nd,C,Alonzo Mourning,29,MIA,354,605,0.585,0,,,79,34.8,21.7,9.5,1.6,0.5,3.7,.551,.000,.711,12.9,.226,mournal01
2nd,F,Grant Hill,27,DET,342,605,0.565,32,,,74,37.5,25.8,6.6,5.2,1.4,0.6,.489,.347,.795,10.7,.185,hillgr01
3rd,F,Chris Webber,26,SAC,254,605,0.42,8,,,75,38.4,24.5,10.5,4.6,1.6,1.7,.483,.284,.751,10.7,.179,webbech01
3rd,F,Vince Carter,23,TOR,194,605,0.321,13,,,82,38.1,25.7,5.8,3.9,1.3,1.1,.465,.403,.791,11.8,.182,cartevi01
3rd,G,Eddie Jones,28,CHH,125,605,0.207,2,,,72,39.0,20.1,4.8,4.2,2.7,0.7,.427,.375,.864,10.1,.172,jonesed02
3rd,C,David Robinson,34,SAS,91,605,0.15,0,,,80,32.0,17.8,9.6,1.8,1.2,2.3,.512,.000,.726,12.7,.238,robinda01
3rd,G,Stephon Marbury,22,NJN,53,605,0.088,0,,,74,38.9,22.2,3.2,8.4,1.5,0.2,.432,.283,.813,7.4,.123,marbust01
ORV,G,John Stockton,37,UTA,50,605,0.083,0,,,82,29.7,12.1,2.6,8.6,1.7,0.2,.501,.355,.860,11.2,.222,stockjo01
ORV,G,Michael Finley,26,DAL,49,605,0.081,0,,,82,42.2,22.6,6.3,5.3,1.3,0.4,.457,.401,.820,8.3,.114,finlemi01
ORV,G,Allan Houston,28,NYK,28,605,0.046,0,,,82,38.6,19.7,3.3,2.7,0.8,0.2,.483,.436,.838,8.6,.130,houstal01
ORV,C,Dikembe Mutombo,33,ATL,26,605,0.043,0,,,82,36.4,11.5,14.1,1.3,0.3,3.3,.562,,.708,9.9,.160,mutomdi01
ORV,G,Jerry Stackhouse,25,DET,24,605,0.04,0,,,82,38.4,23.6,3.8,4.5,1.3,0.4,.428,.288,.815,7.3,.111,stackje01
ORV,G,Ray Allen,24,MIL,20,605,0.033,0,,,82,37.4,22.1,4.4,3.8,1.3,0.2,.455,.423,.887,10.1,.157,allenra02
ORV,C,Patrick Ewing,37,NYK,8,605,0.013,0,,,62,32.8,15.0,9.7,0.9,0.6,1.4,.466,.000,.731,4.8,.113,ewingpa01
ORV,F,Shareef Abdur-Rahim,23,VAN,7,605,0.012,0,,,82,39.3,20.3,10.1,3.3,1.1,1.1,.465,.302,.809,8.8,.132,abdursh01
ORV,F,Jalen Rose,27,IND,6,605,0.01,0,,,80,37.2,18.2,4.8,4.0,1.1,0.6,.471,.393,.827,7.3,.118,roseja01
ORV,F,Rasheed Wallace,25,POR,6,605,0.01,0,,,81,35.1,16.4,7.0,1.8,1.1,1.3,.519,.160,.704,9.3,.156,wallara01
ORV,F,Clifford Robinson,33,PHO,4,605,0.007,0,,,80,35.5,18.5,4.5,2.8,1.1,0.8,.464,.370,.782,9.6,.162,robincl02
ORV,G,Latrell Sprewell,29,NYK,4,605,0.007,0,,,82,40.0,18.6,4.3,4.0,1.3,0.3,.435,.346,.866,6.6,.097,sprewla01
ORV,G,Terrell Brandon,29,MIN,3,605,0.005,0,,,71,36.4,17.1,3.4,8.9,1.9,0.4,.466,.402,.899,8.6,.159,brandte01
ORV,C,Arvydas Sabonis,35,POR,2,605,0.003,0,0,2,66,25.6,11.8,7.8,1.8,0.7,1.2,.505,.368,.843,7.1,.203,sabonar01
ORV,C,Rik Smits,33,IND,2,605,0.003,0,0,2,79,23.4,12.9,5.1,1.1,0.3,1.3,.484,.000,.739,3.8,.099,smitsri01
ORV,G,Darrell Armstrong,31,ORL,1,605,0.002,0,0,1,82,31.6,16.2,3.3,6.1,2.1,0.1,.433,.340,.911,8.0,.149,armstda01
ORV,G,Sam Cassell,30,MIL,1,605,0.002,0,0,1,81,35.8,18.6,3.7,9.0,1.3,0.1,.466,.289,.876,9.2,.152,cassesa01
ORV,C,Vlade Divac,31,SAC,1,605,0.002,0,0,1,82,29.0,12.3,8.0,3.0,1.3,1.3,.503,.269,.691,7.2,.145,divacvl01
ORV,G,Anfernee Hardaway,28,PHO,1,605,0.002,0,0,1,60,37.6,16.9,5.8,5.3,1.6,0.6,.474,.324,.790,7.8,.165,hardaan01
ORV,F,Antonio McDyess,25,DEN,1,605,0.002,0,0,1,81,33.3,19.1,8.5,2.0,0.9,1.7,.507,.000,.626,6.2,.110,mcdyean01
ORV,G,Reggie Miller,34,IND,1,605,0.002,0,0,1,81,36.9,18.1,3.0,2.3,1.0,0.3,.448,.408,.919,10.1,.162,millere01
ORV,G,Steve Smith,30,POR,1,605,0.002,0,0,1,82,32.8,14.9,3.8,2.5,0.9,0.4,.467,.398,.850,10.4,.186,smithst01
