,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_a,-16.244,4.872,-25.787,-7.297,0.134,0.095,1383.0,1502.0,1.0
a[Pre],-11.711,2.712,-16.619,-6.518,0.099,0.071,776.0,1173.0,1.0
a[Post],-20.703,2.936,-26.413,-15.252,0.113,0.08,651.0,1413.0,1.01
mu_b0,0.141,1.734,-2.665,3.497,0.14,0.116,444.0,235.0,1.01
b0[Pre],0.078,0.035,0.014,0.144,0.001,0.001,1508.0,1909.0,1.0
b0[Post],0.114,0.032,0.054,0.173,0.001,0.001,1669.0,2318.0,1.0
mu_b1,-0.14,1.668,-4.828,2.805,0.126,0.09,315.0,170.0,1.01
b1[Pre],-0.145,0.028,-0.198,-0.091,0.001,0.001,1412.0,1905.0,1.0
b1[Post],-0.08,0.026,-0.131,-0.032,0.001,0.0,1502.0,1908.0,1.0
mu_b2,-0.017,0.783,-0.98,1.169,0.044,0.033,636.0,345.0,1.04
b2[Pre],0.003,0.001,0.001,0.004,0.0,0.0,1191.0,1983.0,1.0
b2[Post],0.001,0.001,-0.0,0.002,0.0,0.0,1334.0,2023.0,1.0
mu_b3,0.232,2.359,-3.817,4.783,0.187,0.132,334.0,202.0,1.01
b3[Pre],-0.19,0.16,-0.492,0.098,0.007,0.005,561.0,1029.0,1.0
b3[Post],0.038,0.121,-0.202,0.252,0.005,0.003,620.0,1138.0,1.0
mu_b4,-2.004,4.792,-10.678,7.136,0.174,0.123,749.0,1277.0,1.0
b4[Pre],-3.639,3.804,-10.628,3.371,0.146,0.103,694.0,1186.0,1.01
b4[Post],-0.421,4.187,-7.828,7.73,0.154,0.109,742.0,1603.0,1.0
mu_b5,-3.923,3.649,-9.918,2.619,0.187,0.168,673.0,597.0,1.01
b5[Pre],-4.991,1.395,-7.519,-2.374,0.05,0.035,799.0,1381.0,1.01
b5[Post],-2.637,1.159,-4.796,-0.51,0.034,0.024,1160.0,1811.0,1.0
mu_b6,-0.841,3.647,-7.519,6.915,0.117,0.103,1211.0,862.0,1.0
b6[Pre],-2.732,1.162,-4.918,-0.578,0.031,0.022,1393.0,2118.0,1.0
b6[Post],0.805,0.686,-0.525,1.939,0.015,0.01,2351.0,1935.0,1.0
mu_b7,-0.197,1.666,-3.477,2.843,0.07,0.053,819.0,718.0,1.0
b7[Pre],-0.222,0.284,-0.821,0.288,0.014,0.01,440.0,634.0,1.01
b7[Post],-0.155,0.186,-0.521,0.191,0.007,0.005,746.0,1332.0,1.0
mu_b8,-0.013,1.749,-3.269,3.399,0.118,0.084,351.0,261.0,1.01
b8[Pre],0.052,0.282,-0.576,0.546,0.014,0.01,413.0,683.0,1.01
b8[Post],0.046,0.171,-0.268,0.376,0.006,0.004,742.0,1226.0,1.0
mu_b9,0.141,2.06,-4.177,4.101,0.129,0.113,408.0,275.0,1.01
b9[Pre],0.066,0.562,-0.913,1.285,0.028,0.02,422.0,635.0,1.01
b9[Post],0.008,0.338,-0.656,0.623,0.012,0.009,738.0,1199.0,1.0
mu_b10,-0.009,1.327,-1.914,2.566,0.05,0.039,1559.0,961.0,1.01
b10[Pre],0.013,0.02,-0.024,0.049,0.001,0.0,1059.0,1452.0,1.01
b10[Post],0.053,0.016,0.022,0.083,0.001,0.0,1026.0,1855.0,1.0
mu_b11,0.381,2.096,-2.918,4.696,0.109,0.077,499.0,500.0,1.01
b11[Pre],0.422,0.265,-0.046,0.935,0.01,0.007,781.0,1306.0,1.0
