,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_a,0.13,0.692,-0.913,0.999,0.345,0.264,4.0,13.0,3.6
a[Pre],0.421,0.607,-0.378,1.206,0.289,0.222,5.0,12.0,2.8
a[Post],-0.12,0.321,-0.471,0.365,0.16,0.122,4.0,13.0,3.19
mu_b0,0.198,0.333,-0.106,0.723,0.163,0.126,5.0,19.0,2.01
b_offset0[0],0.165,0.405,-0.475,0.67,0.189,0.144,5.0,21.0,2.41
b_offset0[1],-0.027,0.64,-1.115,0.807,0.285,0.215,5.0,11.0,2.42
mu_b1,-0.463,0.787,-2.077,0.341,0.377,0.287,5.0,13.0,3.05
b_offset1[0],0.068,0.269,-0.397,0.469,0.124,0.094,6.0,20.0,1.95
b_offset1[1],0.81,0.433,0.213,1.694,0.173,0.128,6.0,18.0,1.72
mu_b2,0.492,0.595,-0.047,1.621,0.291,0.222,4.0,20.0,3.16
b_offset2[0],-0.168,0.232,-0.48,0.183,0.115,0.088,5.0,14.0,3.11
b_offset2[1],-0.254,0.257,-0.592,0.161,0.123,0.094,5.0,19.0,2.32
mu_b3,0.353,0.655,-0.399,1.285,0.323,0.247,4.0,12.0,3.57
b_offset3[0],-0.39,0.164,-0.678,-0.238,0.081,0.063,5.0,22.0,2.82
b_offset3[1],-0.357,0.333,-0.932,-0.137,0.166,0.127,5.0,11.0,2.22
mu_b4,-0.683,0.839,-2.499,0.075,0.389,0.294,5.0,11.0,3.17
b_offset4[0],0.052,0.479,-0.429,0.712,0.236,0.18,5.0,17.0,2.85
b_offset4[1],-0.299,1.045,-2.263,0.669,0.516,0.394,5.0,17.0,3.4
mu_b5,-1.833,3.453,-8.36,0.672,1.707,1.306,4.0,12.0,3.43
b_offset5[0],-0.286,0.695,-1.705,0.452,0.34,0.259,4.0,11.0,3.4
b_offset5[1],0.378,0.315,-0.129,0.762,0.155,0.119,4.0,11.0,3.65
mu_b6,-0.477,0.459,-1.035,0.342,0.226,0.172,5.0,32.0,2.99
b_offset6[0],0.273,0.198,-0.028,0.483,0.099,0.076,5.0,23.0,3.15
b_offset6[1],-0.166,0.613,-0.768,1.018,0.289,0.219,5.0,23.0,3.07
mu_b7,-0.702,0.219,-0.996,-0.393,0.106,0.083,4.0,12.0,3.24
b_offset7[0],-0.002,0.383,-0.491,0.413,0.184,0.14,5.0,23.0,2.22
b_offset7[1],-0.046,0.407,-0.683,0.327,0.202,0.155,5.0,20.0,2.43
mu_b8,-0.325,0.161,-0.617,0.009,0.048,0.035,12.0,20.0,1.26
b_offset8[0],0.164,0.435,-0.457,0.636,0.211,0.161,5.0,49.0,2.79
b_offset8[1],0.666,0.469,-0.274,1.51,0.156,0.114,9.0,17.0,1.66
mu_b9,0.864,1.486,-0.663,3.557,0.731,0.559,5.0,12.0,2.95
b_offset9[0],-0.144,0.686,-0.921,0.871,0.326,0.247,5.0,15.0,2.47
b_offset9[1],-0.24,0.371,-0.823,0.306,0.144,0.107,6.0,28.0,2.02
mu_b10,-0.205,0.422,-1.037,0.056,0.197,0.149,5.0,11.0,2.95
