,distribution,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,Intercept,-15.32,1.906,-19.066,-11.861,0.05,0.036,1449.0,2245.0,1.0
1,Age,0.079,0.022,0.04,0.122,0.0,0.0,2806.0,2895.0,1.0
2,G,-0.101,0.017,-0.134,-0.07,0.0,0.0,1610.0,2272.0,1.0
3,MP,0.002,0.0,0.001,0.002,0.0,0.0,1592.0,2277.0,1.0
4,PER,0.11,0.078,-0.047,0.25,0.002,0.002,1140.0,1865.0,1.0
5,TS%,-3.012,3.076,-8.485,3.208,0.086,0.061,1282.0,1712.0,1.0
6,3PAr,-2.437,0.814,-3.895,-0.828,0.017,0.012,2249.0,2845.0,1.0
7,FTr,0.096,0.516,-0.874,1.017,0.01,0.008,2760.0,2335.0,1.0
8,ORB%,-0.155,0.147,-0.436,0.125,0.005,0.004,882.0,1179.0,1.0
9,DRB%,0.057,0.136,-0.214,0.3,0.005,0.003,865.0,1200.0,1.0
10,TRB%,0.002,0.273,-0.496,0.543,0.009,0.007,856.0,1258.0,1.0
11,AST%,0.038,0.012,0.017,0.06,0.0,0.0,1575.0,2152.0,1.0
12,STL%,0.055,0.165,-0.251,0.365,0.004,0.003,1598.0,2576.0,1.0
13,BLK%,0.199,0.082,0.039,0.352,0.002,0.001,1890.0,2408.0,1.0
14,TOV%,0.057,0.03,-0.001,0.112,0.001,0.0,2139.0,2137.0,1.0
15,USG%,0.17,0.031,0.11,0.228,0.001,0.001,1535.0,2255.0,1.0
16,OWS,-1.175,1.762,-4.553,2.029,0.052,0.036,1165.0,1537.0,1.0
17,DWS,-0.583,1.762,-4.011,2.598,0.052,0.037,1162.0,1471.0,1.0
18,WS,1.869,1.764,-1.291,5.305,0.052,0.036,1166.0,1552.0,1.0
19,WS/48,1.927,3.714,-4.626,9.292,0.102,0.072,1313.0,2079.0,1.0
20,OBPM,-2.946,1.61,-5.855,0.155,0.051,0.036,1008.0,1836.0,1.01
21,DBPM,-3.525,1.611,-6.626,-0.586,0.051,0.036,1005.0,1785.0,1.01
22,BPM,3.001,1.609,0.152,6.173,0.051,0.036,1003.0,1854.0,1.01
23,VORP,0.086,0.15,-0.201,0.362,0.003,0.002,2498.0,2270.0,1.0
