,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_a,-17.77,2.859,-23.198,-12.497,0.106,0.076,726.0,1036.0,1.01
a[C],-17.714,2.748,-22.689,-12.234,0.097,0.069,800.0,1561.0,1.01
a[G],-17.044,2.404,-21.741,-12.747,0.089,0.063,736.0,1314.0,1.0
a[F],-18.538,2.683,-23.823,-13.817,0.101,0.072,712.0,1391.0,1.01
mu_b0,0.053,0.223,-0.361,0.367,0.016,0.011,297.0,108.0,1.02
b0[C],0.105,0.042,0.032,0.187,0.001,0.001,1568.0,2283.0,1.0
b0[G],0.089,0.034,0.027,0.152,0.001,0.001,1661.0,2465.0,1.0
b0[F],0.027,0.04,-0.05,0.097,0.001,0.001,1257.0,1390.0,1.0
mu_b1,-0.1,0.05,-0.173,-0.005,0.002,0.002,576.0,494.0,1.01
b1[C],-0.105,0.025,-0.157,-0.062,0.001,0.001,889.0,1258.0,1.01
b1[G],-0.1,0.022,-0.14,-0.059,0.001,0.001,900.0,1600.0,1.0
b1[F],-0.1,0.024,-0.146,-0.057,0.001,0.001,829.0,1142.0,1.0
mu_b2,0.002,0.003,-0.002,0.006,0.0,0.0,275.0,128.0,1.02
b2[C],0.002,0.001,0.001,0.003,0.0,0.0,728.0,1251.0,1.01
b2[G],0.002,0.001,0.001,0.003,0.0,0.0,665.0,1528.0,1.0
b2[F],0.002,0.001,0.0,0.003,0.0,0.0,704.0,1283.0,1.0
mu_b3,0.073,0.363,-0.532,0.631,0.023,0.018,386.0,337.0,1.01
b3[C],0.178,0.206,-0.206,0.57,0.012,0.008,323.0,514.0,1.01
b3[G],0.065,0.129,-0.182,0.307,0.007,0.005,330.0,721.0,1.01
b3[F],0.028,0.151,-0.265,0.289,0.008,0.006,363.0,876.0,1.02
mu_b4,-1.832,4.049,-9.351,5.922,0.166,0.118,593.0,1062.0,1.01
b4[C],-3.308,4.113,-11.554,4.036,0.166,0.118,610.0,1073.0,1.01
b4[G],-0.41,4.143,-8.213,7.547,0.18,0.127,544.0,1154.0,1.01
b4[F],-1.856,3.76,-9.133,5.208,0.155,0.11,598.0,1104.0,1.01
mu_b5,-3.286,2.104,-7.385,0.444,0.093,0.066,608.0,859.0,1.01
b5[C],-3.962,2.169,-8.276,-0.047,0.082,0.058,718.0,1299.0,1.01
b5[G],-3.757,1.181,-5.967,-1.546,0.043,0.031,761.0,1566.0,1.01
b5[F],-2.356,1.427,-4.942,0.4,0.049,0.035,852.0,1422.0,1.01
mu_b6,-1.32,2.229,-6.175,2.611,0.064,0.047,1374.0,1269.0,1.0
b6[C],0.972,0.76,-0.571,2.294,0.02,0.014,1500.0,2129.0,1.0
b6[G],-1.923,1.23,-4.214,0.249,0.034,0.024,1374.0,2236.0,1.0
b6[F],-2.886,1.517,-5.747,-0.087,0.047,0.033,1082.0,1622.0,1.0
mu_b7,-0.313,0.307,-0.795,0.196,0.018,0.013,287.0,409.0,1.01
b7[C],-0.289,0.209,-0.646,0.126,0.014,0.01,236.0,592.0,1.01
b7[G],-0.371,0.227,-0.771,0.055,0.015,0.011,228.0,477.0,1.01
b7[F],-0.267,0.187,-0.593,0.091,0.012,0.009,228.0,560.0,1.01
mu_b8,-0.056,0.252,-0.448,0.416,0.015,0.011,234.0,416.0,1.01
b8[C],-0.064,0.19,-0.407,0.306,0.013,0.009,220.0,444.0,1.01
b8[G],-0.044,0.196,-0.406,0.329,0.013,0.009,214.0,463.0,1.01
b8[F],-0.074,0.191,-0.419,0.28,0.013,0.009,221.0,495.0,1.01
mu_b9,0.261,0.474,-0.582,1.09,0.027,0.019,283.0,740.0,1.01
b9[C],0.238,0.384,-0.492,0.939,0.026,0.018,217.0,468.0,1.01
b9[G],0.267,0.392,-0.441,1.024,0.027,0.019,208.0,460.0,1.01
b9[F],0.281,0.368,-0.37,0.983,0.025,0.018,214.0,458.0,1.01
mu_b10,0.072,0.153,-0.101,0.274,0.009,0.007,592.0,458.0,1.0
b10[C],0.072,0.037,0.003,0.145,0.001,0.001,1086.0,1709.0,1.01
b10[G],0.044,0.018,0.011,0.078,0.001,0.0,778.0,1824.0,1.0
b10[F],0.095,0.029,0.041,0.149,0.001,0.001,935.0,1598.0,1.01
mu_b11,0.173,0.701,-0.806,1.264,0.065,0.058,400.0,150.0,1.02
b11[C],0.226,0.292,-0.32,0.776,0.011,0.008,687.0,1219.0,1.01
b11[G],0.191,0.261,-0.281,0.688,0.01,0.007,728.0,1285.0,1.01
b11[F],0.278,0.251,-0.216,0.739,0.009,0.007,751.0,1455.0,1.01
mu_b12,0.218,0.391,-0.514,0.855,0.023,0.016,413.0,366.0,1.01
b12[C],0.212,0.144,-0.068,0.482,0.005,0.004,687.0,1374.0,1.01
b12[G],0.292,0.201,-0.057,0.676,0.006,0.004,1021.0,1741.0,1.0
b12[F],0.129,0.147,-0.145,0.408,0.006,0.004,700.0,1712.0,1.01
mu_b13,0.058,0.223,-0.367,0.522,0.011,0.008,700.0,494.0,1.01
b13[C],0.08,0.065,-0.043,0.202,0.002,0.001,1693.0,2433.0,1.0
b13[G],-0.006,0.051,-0.1,0.084,0.002,0.001,913.0,1524.0,1.0
b13[F],0.155,0.053,0.052,0.246,0.002,0.001,1143.0,1619.0,1.0
mu_b14,0.137,0.366,-0.456,0.808,0.031,0.022,331.0,115.0,1.01
b14[C],0.102,0.077,-0.045,0.245,0.004,0.003,379.0,648.0,1.01
